label,avg_calories_kcal,portion_notes
mcdonald’s big mac,561.0,1 burger (219 g)
mcdonald’s cheeseburger,300.0,1 sandwich (114 g)
mcdonald’s chicken nuggets,48.0,1 nugget (16 g)
mcdonald’s double cheeseburger,437.0,1 burger (155 g)
mcdonald’s filet-o-fish,391.0,1 sandwich (142 g)
mcdonald’s mcchicken,359.0,1 burger (143 g)
mcdonald’s mcdouble,403.0,1 burger (160 g)
mcdonald’s mcmuffi egg,290.0,1 burger (129 g)
mcdonald’s mcrib,451.0,1 sandwich (170 g)
mcdonald’s mighty wings,95.0,1 wing (31 g)
mcflurry,205.0,1 mcflurry (134 g)
mcflurry oreo,340.0,1 mcflurry (183 g)
mcrib,451.0,1 sandwich (170 g)
meat pie,290.0,1 pie (120 g)
meatball sandwich,481.0,1 sandwich (299 g)
meatball soup,120.0,1 cup (245 g)
meatloaf,721.0,1 loaf (284 g)
menhaden oil,128.0,1 tbsp (14 ml)
millet,484.0,1 cup (128 g)
millet flour,521.0,1 cup (140 g)
millet gruel,80.0,1 cup (174 g)
minestrone,82.0,1 cup (241 g)
mini milk,30.0,1 mini milk (25 g)
minneola,70.0,1 minneola (109 g)
mint chocolate chip ice cream,172.0,1 scoop (72 g)
mostaccioli,103.0,2 oz. (56 g)
mozzarella pizza,154.0,1 slice (62 g)
mulberries,60.0,1 cup (140 g)
mushroom pizza,611.0,1 slice (288 g)
mushroom soup,85.0,1 cup (244 g)
mushrooms,1.0,1 mushroom (5.4 g)
muskmelon,23.0,1 wedge (69 g)
mustard greens,15.0,"1 cup, chopped (56 g)"
mustard oil,124.0,1 tbsp (14 ml)
naan,260.0,1 bread (84 g)
nachos with cheese,575.0,10 nachos (188 g)
napoli pizza,248.0,1 slice (123 g)
nectarine,66.0,1 nectarine (150 g)
new york style pizza,174.0,1 slice (103 g)
noni,15.0,1 oz. (28.4 g)
noodle soup,83.0,1 cup (244 g)
nori,1.0,1 sheet (2.6 g)
oat bran,231.0,1 cup (94 g)
