label,avg_calories_kcal,portion_notes
cream of mushroom soup,97,1 cup (248 g)
cream of onion soup,107,1 cup (244 g)
cream of potato soup,73,1 cup (244 g)
creamy chicken noodle soup,56,1 cup (245 g)
french onion soup,56,1 cup (243 g)
golden mushroom soup,161,1 cup (248 g)
goulash,1887,1 serving (187 g)
instant ramen,371,1 package (85 g)
lentil soup,139,1 cup (248 g)
lobster bisque soup,248,1 cup (248 g)
meatball soup,120,1 cup (245 g)
minestrone,82,1 cup (241 g)
mushroom soup,85,1 cup (244 g)
noodle soup,83,1 cup (244 g)
onion soup,56,1 cup (243 g)
oxtail soup,68,1 cup (244 g)
potato soup,192,1 serving (240 g)
pumpkin soup,71,1 cup (245 g)
scotch broth,80,1 cup (241 g)
succotash,221,1 cup (192 g)
thai soup,147,1 cup (245 g)
tomato rice soup,116,1 cup (247 g)
tomato soup,74,1 cup (248 g)
vegetable beef soup,76,1 cup (244 g)
vegetable broth,12,1 cup (235 g)
vegetable soup,67,1 cup (241 g)
vegetable stock,12,1 cup (235 g)
wedding soup,130,1 cup (245 g)
baskin-robbins,170,1 scoop (71 g)
ben and jerry’s,210,1 scoop (92 g)
butter pecan ice cream,280,1 scoop (113 g)
carvel,449,1 cup (212 g)
chocolate chip ice cream,155,1 scoop (72 g)
chocolate ice cream,156,1 scoop (72 g)
ciao bella,240,1 cup (220 g)
coffee ice cream,170,1 scoop (72 g)
cold stone creamery,329,1 scoop (142 g)
cookie dough ice cream,130,1/2 cup (65 g)
crunchie mcflurry,318,1 mcflurry (183 g)
dairy milk mcflurry,340,1 mcflurry (183 g)
dippin dots,381,1 cup (170 g)
double rainbow,185,1 scoop (72 g)
drumsticks,360,1 cone (141 g)
french vanilla ice cream,145,1 scoop (72 g)
friendly’s,140,1 scoop (66 g)
healthy choice,80,1 bar (64 g)
hot fudge sundae,333,1 sundae (179 g)
ice cream sandwich,265,1 bar (112 g)
ice cream sundae,253,1 sundae (178 g)
ice milk,164,1 scoop (103 g)
magnolia,166,1 scoop (72 g)
magnum,258,1 magnum (86 g)
magnum almond,271,1 magnum (86 g)
magnum double caramel,305,1 magnum (86 g)
magnum double chocolate,327,1 magnum (86 g)
magnum gold,290,1 magnum (85 g)
magnum white,255,1 magnum (86 g)
mcflurry,205,1 mcflurry (134 g)
mcflurry oreo,340,1 mcflurry (183 g)
mini milk,30,1 mini milk (25 g)
mint chocolate chip ice cream,172,1 scoop (72 g)
rocky road ice cream,290,1 scoop (113 g)
schwan’s,177,1 scoop (72 g)
smarties mcflurry,400,1 mcflurry (202 g)
snickers ice cream,180,1 bar (50 g)
soft serve,191,1 cup (86 g)
solero,75,1 solero (75 g)
strawberry ice cream,170,1 scoop (72 g)
strawberry sundae,281,1 sundae (178 g)
sundae,155,1 scoop (72 g)
turkey hill,190,1 sandwich (70 g)
vanilla cone,230,1 cone (142 g)
vanilla ice cream,145,1 scoop (72 g)
cannelloni,82,2 oz. (56 g)
capellini,198,2 oz. (56 g)
cappelletti,92,2 oz. (56 g)
cellophane noodles,491,1 cup (140 g)
cheese tortellini,329,1 cup (113 g)
dampfnudel,233,1 dampfnudel (85 g)
dumpling dough,55,2 oz. (56 g)
egg noodles,146,1 cup (38 g)
farfalle,200,2 oz. (56 g)
fettuccine,198,2 oz. (56 g)
fusilli,197,2 oz. (56 g)
glass noodles,108,2 oz. (56 g)
lasagne sheets,57,1 sheet (21 g)
linguine,200,2 oz. (56 g)
low carb pasta,158,2 oz. (56 g)
macaroni,422,1 cup (114 g)
manicotti,200,2 oz. (56 g)
mostaccioli,103,2 oz. (56 g)
orecchiette,207,2 oz. (56 g)
orzo,200,2 oz. (56 g)
penne,197,2 oz. (56 g)
penne rigate,207,2 oz. (56 g)
pierogi,200,3 pierogi (100 g)
rigatoni,198,2 oz. (56 g)
rotini,198,2 oz. (56 g)
shells,300,1 cup (85 g)
shirataki noodles,10,2 oz. (56 g)
soy noodles,121,2 oz. (56 g)
spaetzle,206,2 oz. (56 g)
spaghetti,207,2 oz. (56 g)
spinach tortellini,320,1 cup (102 g)
spirelli,206,2 oz. (56 g)
tagliatelle,207,2 oz. (56 g)
tortellini,329,1 cup (113 g)
vermicelli,206,2 oz. (56 g)
whole grain noodles,194,2 oz. (56 g)
whole grain spaghetti,197,2 oz. (56 g)
ziti,197,2 oz. (56 g)
bbq chicken pizza,309,1 slice (132 g)
bbq pizza,314,1 slice (140 g)
beef pizza,714,1 slice (235 g)
bianca pizza,460,1 slice (187 g)
buffalo chicken pizza,600,1 slice (238 g)
calabrese pizza,254,1 slice (108 g)
calzone,841,1 calzone (364 g)
capricciosa pizza,192,1 slice (74 g)
cheese pizza,168,1 slice (63 g)
chicken pizza,309,1 slice (132 g)
deep dish pizza,313,1 slice (118 g)
dominos philly cheese steak pizza,356,1 slice (159 g)
four cheese pizza,250,1 slice (113 g)
goat cheese pizza,138,1 slice (63 g)
grilled pizza,280,1 slice (124 g)
hawaiian pizza,154,1 slice (134 g)
margherita pizza,173,1 slice (63 g)
mozzarella pizza,154,1 slice (62 g)
mushroom pizza,611,1 slice (288 g)
napoli pizza,248,1 slice (123 g)
new york style pizza,174,1 slice (103 g)
pepperoni pizza,181,1 slice (71 g)
pizza dough,130,2 oz. (57 g)
pizza hut stuffed crust pizza,380,1 slice (149 g)
pizza hut supreme pizza,305,1 slice (123 g)
pizza rolls,35,1 roll (14 g)
quattro formaggi pizza,330,1 slice (133 g)
red pepper pizza,165,1 slice (86 g)
salami pizza,181,1 slice (71 g)
sausage pizza,177,1 slice (72 g)
seafood pizza,186,1 slice (76 g)
shrimp pizza,190,1 slice (91 g)
sicilian pizza,321,1 slice (133 g)
spinach feta pizza,150,1 slice (62 g)
spinach pizza,145,1 slice (62 g)
stuffed crust pizza,380,1 slice (149 g)
tarte flambée,142,1 square (56 g)
thin crust pizza,157,1 slice (60 g)
tuna pizza,318,1 slice (125 g)
vegetable pizza,399,1 slice (156 g)
vegetarian pizza,399,1 slice (156 g)
veggie pizza,263,1 slice (114 g)
white pizza,571,1 slice (232 g)
acerola,1,1 acerola (4.8 g)
asian pear,75,1 pear (178 g)
breadfruit,99,1/4 breadfruit (96 g)
cantaloupe melon,23,1 wedge (69 g)
casaba melon,35,1 wedge (125 g)
cherimoya,176,1 cherimoya (235 g)
dragon fruit,120,1 dragonfruit (200 g)
durian,885,1 durian (602 g)
feijoa,23,1 feijoa (42 g)
galia melon,30,1 melon (130 g)
grapefruit,52,1/2 grapefruit (123 g)
honeydew,45,1 wedge (125 g)
kumquat,13,1 kumquat (19 g)
lychee,7,1 lychee (10 g)
mangosteen,58,1 serving (80 g)
maracuya,17,1 maracuya (18 g)
maraschino cherries,8,1 cherry (5 g)
muskmelon,23,1 wedge (69 g)
noni,15,1 oz. (28.4 g)
pink grapefruit,52,1/2 grapefruit (123 g)
plantain,218,1 plantain (179 g)
pomelo,231,1 pomelo (609 g)
prickly pear,8,"1 pad, peeled (19 g)"
sapodilla,141,1 sapodilla (170 g)
soursop fruit,413,1 soursop fruit (625 g)
star fruit,28,1 starfruit (91 g)
arby’s grand turkey club,489,1 sandwich (233 g)
arby’s reuben,641,1 sandwich (308 g)
arby’s roast beef classic,360,1 burger (154 g)
arby’s roast beef max,360,1 burger (154 g)
bbq rib,142,1 rib (67 g)
bean burrito,380,1 burrito (190 g)
big n’ tasty,517,1 sandwich (232 g)
bratwurst,283,1 piece (85 g)
burger king angry whopper,740,1 burger (290 g)
burger king double whopper,894,1 burger (374 g)
burger king double whopper with cheese,994,1 sandwich (399 g)
burger king original chicken sandwich,659,1 sandwich (219 g)
burger king premium alaskan fish sandwich,591,1 burger (228 g)
burger king triple whopper,1471,1 burger (547 g)
burger king whopper,672,1 burger (291 g)
burger king whopper jr.,346,1 burger (148 g)
burger king whopper with cheese,759,1 burger (315 g)
cheeseburger,410,1 burger (156 g)
chicken breast,116,1 piece (71 g)
chicken fajita,326,1 sandwich (222 g)
chicken mcnuggets,48,1 nugget (16 g)
chicken nuggets,59,1 piece (20 g)
chicken pizziola,451,1 sandwich (320 g)
chicken sandwich,410,1 sandwich (170 g)
chicken teriyaki sandwich,367,1 sandwich (266 g)
chicken wings,94,1 piece (29 g)
chop suey,585,1 serving (340 g)
curly fries,398,1 serving (128 g)
double cheeseburger,414,1 burger (155 g)
egg roll,200,1 roll (80 g)
falafel,57,1 patty (17 g)
filet-o-fish,400,1 sandwich (142 g)
fish sandwich,431,1 sandwich (158 g)
french fries,222,1 serving (71 g)
grilled chicken salad,268,1 salad (305 g)
ham sandwich,352,1 sandwich (146 g)
hamburger,279,1 sandwich (110 g)
hot dog,312,1 hot dog (116 g)
italian bmt,410,1 sandwich (224 g)
lasagna,172,1 piece (130 g)
mcdonald’s big mac,561,1 burger (219 g)
mcdonald’s cheeseburger,300,1 sandwich (114 g)
mcdonald’s chicken nuggets,48,1 nugget (16 g)
mcdonald’s double cheeseburger,437,1 burger (155 g)
mcdonald’s filet-o-fish,391,1 sandwich (142 g)
mcdonald’s mcchicken,359,1 burger (143 g)
mcdonald’s mcdouble,403,1 burger (160 g)
mcdonald’s mcmuffi egg,290,1 burger (129 g)
mcdonald’s mcrib,451,1 sandwich (170 g)
mcdonald’s mighty wings,95,1 wing (31 g)
mcrib,451,1 sandwich (170 g)
meatball sandwich,481,1 sandwich (299 g)
nachos with cheese,575,10 nachos (188 g)
onion rings,25,1 ring (6.5 g)
poutine,511,1 serving (225 g)
smoked salmon,44,1 oz. (28.35 g)
spicy italian,480,1 sandwich (219 g)
subway club sandwich,312,1 sandwich (238 g)
tortilla wrap,171,1 wrap (63 g)
tuna,24,1 oz. (28.35 g)
turkey,29,1 oz. (28.35 g)
veggie burger,389,1 burger (215 g)
veggie delight,229,1 sandwich (166 g)
veggie patty,963,1 sandwich (247 g)
wendy’s baconator,839,1 burger (276 g)
wendy’s jr. bacon cheeseburger,420,1 burger (161 g)
wendy’s jr. cheeseburger,290,1 burger (129 g)
wendy’s son of baconator,700,1 burger (218 g)
whopper,672,1 burger (291 g)
zinger,517,1 sandwich (202 g)
zinger burger,517,1 sandwich (202 g)
